83 1:41.48296593186373
115 1:57.51503006012024
114 1:56.71342685370743
160 1:80.36072144288579
-4 1:-2.6052104208416864
-173 1:-85.97194388777555
194 1:97.1943887775551
196 1:97.99599198396794
20 1:10.62124248496994
188 1:94.38877755511024
-162 1:-80.76152304609218
-91 1:-45.49098196392785
33 1:17.434869739478955
-165 1:-83.16633266533066
-12 1:-5.4108216432865675
176 1:89.17835671342687
66 1:32.665330661322656
-47 1:-24.24849699398797
85 1:43.08617234468937
-195 1:-97.1943887775551
63 1:32.26452905811624
-83 1:-41.482965931863724
68 1:34.669338677354716
96 1:47.89579158316633
79 1:39.87975951903809
-150 1:-74.749498997996
18 1:9.81963927855712
-192 1:-95.99198396793587
0 1:-1.00200400801603
15 1:7.815631262525059
-25 1:-12.224448897795583
-173 1:-87.17434869739479
175 1:87.5751503006012
-98 1:-49.09819639278557
-111 1:-55.51102204408817
126 1:63.52705410821645
27 1:13.426853707414836
111 1:55.51102204408818
-95 1:-48.69739478957916
4 1:2.2044088176352687
-117 1:-58.31663326653307
85 1:43.48697394789579
180 1:89.97995991983967
-41 1:-20.24048096192385
-140 1:-70.34068136272545
-188 1:-93.9879759519038
-164 1:-82.76553106212424
48 1:25.050100200400806
-122 1:-61.122244488977955
-109 1:-53.90781563126252
-81 1:-40.6813627254509
-126 1:-63.92785571142284
-25 1:-12.625250501002
2 1:1.00200400801603
-73 1:-37.07414829659319
162 1:81.1623246492986
-29 1:-14.228456913827657
-37 1:-18.637274549098194
138 1:67.93587174348698
-101 1:-50.701402805611224
135 1:67.53507014028057
-100 1:-49.498997995991985
58 1:28.657314629258508
107 1:53.1062124248497
190 1:95.59118236472946
44 1:22.24448897795591
-161 1:-81.1623246492986
-88 1:-44.28857715430861
163 1:81.96392785571143
-137 1:-69.13827655310621
89 1:44.689378757515044
-64 1:-32.66533066132264
-73 1:-35.87174348697394
-74 1:-36.67334669338677
129 1:64.32865731462925
-31 1:-16.232464929859717
-152 1:-77.15430861723446
128 1:63.927855711422865
52 1:27.054108216432866
-86 1:-42.68537074148296
-155 1:-77.55511022044088
-17 1:-9.018036072144284
100 1:50.701402805611224
70 1:35.070140280561134
-83 1:-42.28456913827655
22 1:11.022044088176358
-134 1:-67.93587174348697
95 1:47.49498997995991
21 1:10.220440881763537
-90 1:-45.09018036072144
-187 1:-93.58717434869739
75 1:37.074148296593194
185 1:92.38476953907815
172 1:86.37274549098197
-95 1:-47.89579158316633
45 1:23.046092184368746
37 1:18.637274549098194
-52 1:-26.252505010020045
29 1:15.030060120240478
59 1:30.26052104208418
-72 1:-35.47094188376754
15 1:8.216432865731463
-53 1:-26.653306613226448
182 1:91.58316633266534
8 1:4.609218436873746
-82 1:-41.08216432865731
60 1:30.661322645290596
-130 1:-65.93186372745491
-7 1:-3.00601202404809
7 1:3.807615230460925
-84 1:-41.88376753507014
30 1:16.232464929859717
142 1:71.14228456913827
132 1:66.73346693386773
-27 1:-13.426853707414821
-87 1:-43.48697394789579
6 1:3.4068136272545075
55 1:27.8557114228457
10 1:5.811623246492985
-22 1:-11.022044088176344
170 1:85.17034068136272
-49 1:-24.649298597194388
2 1:1.8036072144288653
-152 1:-75.95190380761522
-130 1:-65.53106212424849
-16 1:-8.617234468937866
-8 1:-3.807615230460925
127 1:63.12625250501003
-113 1:-57.11422845691383
8 1:4.208416833667343
-121 1:-59.91983967935872
91 1:45.89178356713427
-47 1:-23.44689378757515
97 1:49.09819639278558
-131 1:-64.72945891783567
-37 1:-19.038076152304612
146 1:73.14629258517036
133 1:66.33266533066131
181 1:90.78156312625251
117 1:59.11823647294591
-32 1:-15.430861723446895
-111 1:-55.11022044088176
28 1:13.827655310621239
-189 1:-95.19038076152304
-182 1:-91.58316633266533
185 1:92.78557114228457
-57 1:-28.657314629258508
72 1:36.673346693386776
7 1:5.010020040080164
-46 1:-23.847695390781567
-95 1:-47.09418837675351
108 1:54.308617234468954
108 1:54.709418837675344
-14 1:-7.414829659318642
176 1:87.97595190380761
184 1:91.98396793587176
-153 1:-76.35270541082164
155 1:77.15430861723448
94 1:47.09418837675352
-6 1:-3.4068136272545075
-141 1:-69.93987975951904
131 1:65.13026052104209
170 1:85.97194388777555
50 1:25.450901803607223
150 1:75.55110220440883
48 1:24.248496993987985
-39 1:-19.839679358717433
72 1:36.27254509018036
-148 1:-75.1503006012024
168 1:83.56713426853707
-91 1:-45.89178356713427
37 1:19.038076152304612
144 1:72.34468937875752
-76 1:-37.87575150300601
-163 1:-81.56312625250501
155 1:77.95591182364731
122 1:60.320641282565134
-34 1:-17.434869739478955
-2 1:-1.4028056112224476
-196 1:-97.59519038076152
150 1:75.95190380761522
173 1:87.1743486973948
-106 1:-52.705410821643284
-105 1:-53.1062124248497
108 1:53.50701402805612
-115 1:-57.51503006012024
192 1:96.79358717434872
31 1:15.831663326653313
158 1:79.55911823647295
142 1:70.74148296593188
-46 1:-23.04609218436873
138 1:69.53907815631263
5 1:2.6052104208416864
-121 1:-60.721442885771545
-12 1:-6.212424849699403
33 1:16.633266533066134
26 1:13.026052104208418
174 1:86.77354709418839
-110 1:-55.91182364729459
188 1:95.19038076152304
92 1:46.292585170340686
2 1:0.6012024048096265
-30 1:-14.62925851703406
-186 1:-93.18637274549098
-199 1:-100.0
77 1:39.078156312625254
-79 1:-39.478957915831664
80 1:39.47895791583167
-103 1:-52.30460921843687
-42 1:-21.44288577154309
-125 1:-63.12625250501002
-78 1:-39.07815631262525
-33 1:-17.034068136272538
70 1:35.47094188376755
-77 1:-38.276553106212425
199 1:99.59919839679358
19 1:9.018036072144298
-57 1:-28.256513026052104
-132 1:-66.73346693386773
-125 1:-62.324649298597194
54 1:27.454909819639283
-188 1:-94.38877755511022
125 1:62.72545090180361
-54 1:-27.054108216432866
